imbalance,C,l1_ratio,solver,mean_test_pr_auc,std_test_pr_auc,mean_train_pr_auc,std_train_pr_auc,mean_test_roc_auc,std_test_roc_auc,mean_train_roc_auc,std_train_roc_auc,mean_test_precision,std_test_precision,mean_train_precision,std_train_precision,mean_test_recall,std_test_recall,mean_train_recall,std_train_recall,mean_test_f1,std_test_f1,mean_train_f1,std_train_f1,split0_test_pr_auc,split1_test_pr_auc,split2_test_pr_auc,split3_test_pr_auc,split4_test_pr_auc,penalty
smote,10.0000000000,1.0000000000,liblinear,0.7399542538,0.0261482346,0.7422406520,0.0035049762,0.9809182360,0.0082652530,0.9899027443,0.0014575218,0.0548993762,0.0051872426,0.0561391988,0.0040275025,0.9072982456,0.0336537874,0.9285620615,0.0080759776,0.1034845861,0.0092700414,0.1058521781,0.0071773115,0.7458750071,0.7292338166,0.6951036351,0.7612784415,0.7682803686,L1
smote,100.0000000000,1.0000000000,liblinear,0.7399372294,0.0261788462,0.7423252030,0.0035152939,0.9809180649,0.0082649633,0.9899031128,0.0014575864,0.0549108305,0.0052017434,0.0561377636,0.0040342079,0.9072982456,0.0336537874,0.9285620615,0.0080759776,0.1035045657,0.0092944458,0.1058495395,0.0071891244,0.7458750114,0.7292333764,0.6950159022,0.7612819419,0.7682799148,L1
smote,1.0000000000,1.0000000000,liblinear,0.7399351711,0.0261240164,0.7425835731,0.0033313404,0.9809174340,0.0082671385,0.9898997124,0.0014574811,0.0549202794,0.0052079297,0.0561695918,0.0040408120,0.9072982456,0.0336537874,0.9285620615,0.0080759776,0.1035213351,0.0093059296,0.1059060501,0.0072001600,0.7458697728,0.7292315106,0.6951190000,0.7612137691,0.7682418029,L1
smote,0.0010000000,0.0000000000,lbfgs,0.7384020366,0.0262078810,0.7382541189,0.0079458345,0.9811205022,0.0089431546,0.9888488596,0.0015549990,0.0612484383,0.0058681646,0.0622235260,0.0048421219,0.9073333333,0.0290907454,0.9193102092,0.0068398545,0.1146860729,0.0103547985,0.1165222979,0.0085163503,0.7519405404,0.7126787258,0.7072986649,0.7415402836,0.7785519682,L2
smote,0.1000000000,1.0000000000,liblinear,0.7383621551,0.0257659443,0.7427488066,0.0050733570,0.9809493130,0.0082847096,0.9898671057,0.0014402124,0.0550829673,0.0052798181,0.0563253010,0.0041026987,0.9072982456,0.0336537874,0.9278998098,0.0088099080,0.1038105742,0.0094403851,0.1061778457,0.0073070758,0.7443187064,0.7293778191,0.6934516224,0.7580171762,0.7666454512,L1
smote,0.0100000000,1.0000000000,liblinear,0.7374929451,0.0226558512,0.7397809112,0.0077847602,0.9807842309,0.0085081367,0.9895427040,0.0014874220,0.0565575834,0.0055310656,0.0577595478,0.0045491684,0.9099649123,0.0318658314,0.9265796778,0.0082762786,0.1064382079,0.0098517749,0.1087089893,0.0080776380,0.7532592391,0.7255766954,0.6999992248,0.7442118775,0.7644176888,L1
smote,0.0100000000,0.0000000000,lbfgs,0.7340258810,0.0212227846,0.7407741898,0.0058200158,0.9809770741,0.0083861562,0.9896859299,0.0014618119,0.0559807554,0.0057626959,0.0573363686,0.0043954465,0.9072982456,0.0336537874,0.9272397438,0.0084446956,0.1053975523,0.0102998707,0.1079650055,0.0078107181,0.7481777610,0.7209800958,0.6994718018,0.7427437352,0.7587560113,L2
original,0.0100000000,1.0000000000,liblinear,0.7319201608,0.0257531364,0.7357776440,0.0089811955,0.9698623309,0.0150916180,0.9718214774,0.0031204385,0.8755625856,0.0298283321,0.8763736545,0.0068730895,0.5475087719,0.0414185819,0.5529233056,0.0126534930,0.6722577255,0.0278309751,0.6779546891,0.0096145363,0.7347349309,0.7178430477,0.6972875746,0.7341620243,0.7755732266,L1
smote,0.0010000000,1.0000000000,liblinear,0.7270413041,0.0262301851,0.7284405265,0.0084381959,0.9810247440,0.0085751381,0.9878403726,0.0018049739,0.0635487192,0.0055670690,0.0645911116,0.0050388551,0.9073333333,0.0355215981,0.9186457719,0.0068735816,0.1187055090,0.0096977422,0.1206575406,0.0088204697,0.7303781201,0.6980249965,0.7008072377,0.7363954084,0.7696007577,L1
original,0.0010000000,1.0000000000,liblinear,0.6927928757,0.0498039124,0.6964744143,0.0098693754,0.9483670206,0.0256300902,0.9492735920,0.0056404440,0.8146955624,0.0552667413,0.8092640256,0.0188518505,0.1745964912,0.0209680758,0.1739426923,0.0108086773,0.2871624435,0.0301841837,0.2861952736,0.0151471563,0.7196542237,0.6835049080,0.6071790095,0.6955892323,0.7580370050,L1
